nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
ip-172-31-31-147,1717777895,1717777902,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,collapse,2.0.14,,group_by,1,0.041,NA,TRUE,29998789,0,NA,FALSE
ip-172-31-31-147,1717777895,1717777902,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,collapse,2.0.14,,group_by,2,0.039,NA,TRUE,29998789,0,NA,FALSE
ip-172-31-31-147,1717777895,1717777902,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,collapse,2.0.14,,group_by,1,0.044,NA,TRUE,29998789,0,NA,FALSE
ip-172-31-31-147,1717777895,1717777902,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,collapse,2.0.14,,group_by,2,0.044,NA,TRUE,29998789,0,NA,FALSE
ip-172-31-31-147,1717777895,1717777902,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,collapse,2.0.14,,group_by,1,0.068,NA,TRUE,29998789;4999720,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717777902,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,collapse,2.0.14,,group_by,2,0.068,NA,TRUE,29998789;4999720,0,NA,FALSE
ip-172-31-31-147,1717777895,1717777902,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,collapse,2.0.14,,group_by,1,0.049,NA,TRUE,299.988;799.8942;4999.767,0.002,NA,FALSE
ip-172-31-31-147,1717777895,1717777902,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,collapse,2.0.14,,group_by,2,0.048,NA,TRUE,299.988;799.8942;4999.767,0.002,NA,FALSE
ip-172-31-31-147,1717777895,1717777903,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,collapse,2.0.14,,group_by,1,0.121,NA,TRUE,29998789;79989360;499976651,0.002,NA,FALSE
ip-172-31-31-147,1717777895,1717777903,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,collapse,2.0.14,,group_by,2,0.12,NA,TRUE,29998789;79989360;499976651,0.002,NA,FALSE
